date,observed,predicted,residual,is_outlier,corrected
2025-04-23,3.9024999999999994,3.8869201870523007,0.015579812947698723,False,3.9024999999999994
2025-04-24,4.015000000000001,4.004539098718126,0.010460901281874158,False,4.015000000000001
2025-04-25,4.053333333333334,4.0431493686737205,0.010183964659613132,False,4.053333333333334
2025-04-26,4.125,4.13727679560985,-0.012276795609849955,False,4.125
2025-04-27,4.117083333333333,4.116064757646031,0.0010185756873024587,False,4.117083333333333
2025-04-28,4.214583333333334,4.197031995612112,0.01755133772122175,False,4.214583333333334
2025-04-29,4.1975,4.200855809075404,-0.0033558090754040037,False,4.1975
2025-04-30,4.272500000000001,4.2769548258235375,-0.004454825823536623,False,4.272500000000001
2025-05-01,4.290416666666667,4.287283295230515,0.0031333714361521103,False,4.290416666666667
2025-05-02,4.300416666666667,4.303546859303739,-0.003130192637072149,False,4.300416666666667
2025-05-03,4.36125,4.340907246199554,0.020342753800446367,False,4.36125
2025-05-04,4.279166666666667,4.279290455946165,-0.0001237892794980766,False,4.279166666666667
2025-05-05,4.269583333333333,4.267382500329732,0.00220083300360141,False,4.269583333333333
2025-05-06,4.204583333333334,4.218623892225629,-0.014040558892295607,False,4.204583333333334
2025-05-07,4.3758333333333335,4.346137316562412,0.02969601677092104,True,4.346137316562412
2025-05-08,4.176666666666668,4.185263987258896,-0.008597320592228286,False,4.176666666666668
2025-05-09,4.098750000000001,4.105757678490887,-0.007007678490886349,False,4.098750000000001
2025-05-10,4.124583333333334,4.119073263769876,0.005510069563457343,False,4.124583333333334
2025-05-11,4.108333333333333,4.1060684861105585,0.0022648472227748684,False,4.108333333333333
2025-05-12,3.9287500000000004,3.932362847949866,-0.003612847949865383,False,3.9287500000000004
2025-05-13,3.822083333333333,3.8191094849000575,0.0029738484332755277,False,3.822083333333333
2025-05-14,3.6879166666666667,3.617246271262954,0.07067039540371267,True,3.617246271262954
2025-05-15,3.6374999999999997,3.6140186009215314,0.023481399078468357,False,3.6374999999999997
